input_file,si,ti,n
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,10.037,0.603,263
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,10.088,0.618,264
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,10.16,0.606,265
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,10.234,0.649,266
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,10.302,0.562,267
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,10.345,0.608,268
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,10.415,0.61,269
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,10.592,0.705,270
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,10.676,0.605,271
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,10.69,0.614,272
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,10.755,0.658,273
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,10.99,0.678,274
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,11.093,0.594,275
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,11.141,0.656,276
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,11.25,0.624,277
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,11.398,0.794,278
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,11.478,0.759,279
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,11.532,0.994,280
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,11.601,0.941,281
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,11.851,0.925,282
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,11.927,0.814,283
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,12.028,0.92,284
